T,genP,demP,H,B
19.5,0,0.22,13,131
20,0,0.267,13,131
20.5,0,0.281,13,131
21,0,0.311,13,131
21.5,0,0.204,13,131
22,0,0.163,13,131
22.5,0,0.096,13,131
23,0,0.095,13,131
23.5,0,0.095,13,131
0,0,0.059,14,140
0.5,0,0.053,14,140
1,0,0.053,14,140
1.5,0,0.095,14,140
2,0,0.057,14,140
2.5,0,0.053,14,140
3,0,0.053,14,140
3.5,0,0.09,14,140
4,0,0.063,14,140
4.5,0,0.056,14,140
5,0,0.055,14,140
5.5,0,0.085,14,140
6,0,0.068,14,140
6.5,0,0.054,14,140
7,0.056,0.077,14,140
7.5,0.156,0.111,14,140
8,0.269,0.18,14,140
8.5,0.331,0.097,14,140
9,0.413,0.257,14,140
9.5,0.431,0.13,14,140
10,0.275,0.122,14,140
10.5,0.406,0.087,14,140
11,0.45,0.406,14,140
11.5,0.3,0.949,14,140
12,0.431,0.372,14,140
12.5,0.581,0.138,14,140
13,0.544,0.113,14,140
13.5,0.469,0.096,14,140
14,0.356,0.131,14,140
14.5,0.519,0.091,14,140
15,0.444,0.185,14,140
15.5,0.381,0.362,14,140
16,0.363,0.712,14,140
16.5,0.281,0.662,14,140
17,0.138,0.071,14,140
17.5,0.025,0.283,14,140
18,0.031,0.212,14,140
18.5,0.006,0.185,14,140
19,0,0.079,14,140
19.5,0,0.099,14,140
20,0,0.137,14,140
20.5,0,0.103,14,140
21,0,0.086,14,140
21.5,0,0.111,14,140
22,0,0.155,14,140
22.5,0,0.092,14,140
23,0,0.056,14,140
23.5,0,0.077,14,140
0,0,0.066,15,146
0.5,0,0.067,15,146
1,0,0.05,15,146
1.5,0,0.069,15,146
2,0,0.068,15,146
2.5,0,0.069,15,146
3,0,0.075,15,146
3.5,0,0.05,15,146
4,0,0.062,15,146
4.5,0,0.067,15,146
5,0,0.067,15,146
5.5,0,0.067,15,146
6,0,0.053,15,146
6.5,0,0.059,15,146
7,0.019,0.071,15,146
7.5,0.025,0.823,15,146
8,0.2,0.336,15,146
8.5,0.3,0.178,15,146
9,0.344,0.55,15,146
9.5,0.244,0.302,15,146
10,0.3,0.664,15,146
10.5,0.369,0.191,15,146
11,0.281,0.071,15,146
11.5,0.206,0.066,15,146
12,0.4,0.219,15,146
12.5,0.444,0.122,15,146
13,0.413,0.073,15,146
13.5,0.381,0.074,15,146
14,0.369,0.072,15,146
14.5,0.306,0.055,15,146
15,0.144,0.198,15,146
15.5,0.031,0.102,15,146
16,0.019,0.059,15,146
16.5,0.025,0.152,15,146
17,0.013,0.136,15,146
17.5,0.019,0.091,15,146
18,0.013,0.08,15,146
18.5,0.006,0.124,15,146
19,0,0.182,15,146
19.5,0,0.115,15,146
20,0,0.419,15,146
20.5,0,0.107,15,146
21,0,0.107,15,146
21.5,0.006,0.117,15,146
22,0,0.115,15,146
22.5,0,0.079,15,146
23,0,0.059,15,146
23.5,0,0.068,15,146
0,0,0.536,16,150
0.5,0,0.513,16,150
1,0,0.549,16,150
1.5,0,0.565,16,150
2,0,0.507,16,150
2.5,0,0.541,16,150
3,0,0.493,16,150
3.5,0,0.555,16,150
4,0,0.523,16,150
4.5,0,0.573,16,150
5,0,0.596,16,150
5.5,0,0.616,16,150
6,0.013,0.548,16,150
6.5,0.094,0.878,16,150
7,0.194,1.382,16,150
7.5,0.35,0.923,16,150
8,0.556,0.379,16,150
8.5,0.738,0.411,16,150
9,0.9,0.396,16,150
9.5,0.988,0.388,16,150
10,1.05,0.39,16,150
10.5,0.919,0.408,16,150
11,0.669,0.325,16,150
11.5,0.956,0.281,16,150
12,0.838,0.226,16,150
12.5,0.831,0.233,16,150
13,0.763,0.235,16,150
13.5,0.75,0.238,16,150
14,0.663,0.26,16,150
14.5,0.669,0.244,16,150
15,0.206,0.22,16,150
15.5,0.069,0.258,16,150
16,0.069,0.299,16,150
16.5,0.081,0.677,16,150
17,0.05,0.91,16,150
17.5,0.038,0.548,16,150
18,0.031,0.448,16,150
18.5,0.025,0.492,16,150
19,0.006,0.557,16,150
19.5,0,0.649,16,150
20,0,0.687,16,150
20.5,0,0.549,16,150
21,0,1.399,16,150
21.5,0,0.481,16,150
22,0,1.008,16,150
22.5,0,0.446,16,150
23,0,0.338,16,150
23.5,0,0.366,16,150
0,0,1.485,17,155
0.5,0,1.373,17,155
1,0,0.868,17,155
1.5,0,0.855,17,155
2,0,0.86,17,155
2.5,0,0.861,17,155
3,0,0.88,17,155
3.5,0,0.412,17,155
4,0,0.334,17,155
4.5,0,0.267,17,155
5,0,0.271,17,155
5.5,0,0.254,17,155
6,0.006,0.503,17,155
6.5,0.013,0.43,17,155
7,0.019,0.39,17,155
7.5,0.031,0.274,17,155
8,0.031,0.248,17,155
8.5,0.038,0.254,17,155
9,0.063,0.268,17,155
9.5,0.081,0.262,17,155
10,0.175,0.333,17,155
10.5,0.2,0.517,17,155
11,0.306,0.349,17,155
11.5,0.569,0.329,17,155
12,0.488,0.279,17,155
12.5,0.688,0.28,17,155
13,0.706,0.26,17,155
13.5,0.563,0.268,17,155
14,0.688,0.267,17,155
14.5,0.731,0.411,17,155
15,0.713,0.454,17,155
15.5,0.7,0.35,17,155
16,0.588,0.339,17,155
16.5,0.606,0.36,17,155
17,0.363,0.49,17,155
17.5,0.269,0.36,17,155
18,0.131,0.345,17,155
18.5,0.144,0.668,17,155
19,0.025,0.435,17,155
19.5,0,0.841,17,155
20,0,0.926,17,155
20.5,0,0.618,17,155
21,0,0.508,17,155
21.5,0,0.808,17,155
22,0,0.923,17,155
22.5,0,0.902,17,155
23,0,0.829,17,155
23.5,0,1.034,17,155
0,0,0.094,18,162
0.5,0,0.093,18,162
1,0,0.095,18,162
1.5,0,0.094,18,162
2,0,0.093,18,162
2.5,0,0.091,18,162
3,0,0.093,18,162
3.5,0,0.093,18,162
4,0,0.09,18,162
4.5,0,0.09,18,162
5,0,0.091,18,162
5.5,0,0.09,18,162
6,0.005,0.092,18,162
6.5,0.029,0.094,18,162
7,0.064,0.093,18,162
7.5,0.239,0.094,18,162
8,0.342,0.095,18,162
8.5,0.436,0.432,18,162
9,0.363,0.699,18,162
9.5,0.551,0.54,18,162
10,0.424,0.143,18,162
10.5,0.607,0.105,18,162
11,0.436,0.137,18,162
11.5,0.355,0.152,18,162
12,0.386,0.073,18,162
12.5,0.441,0.074,18,162
13,0.66,0.078,18,162
13.5,0.646,0.064,18,162
14,0.624,0.073,18,162
14.5,0.577,0.067,18,162
15,0.526,0.068,18,162
15.5,0.506,0.066,18,162
16,0.411,0.067,18,162
16.5,0.292,0.067,18,162
17,0.183,0.069,18,162
17.5,0.028,0.066,18,162
18,0.023,0.068,18,162
